Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
100.0,294.64,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,292.8,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,294.48,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,294.44,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,296.76,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,296.72,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,296.68,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,305.84,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,326.24,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,326.2,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,331.12,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,331.08,1,34174.83539999999,29420.392441381922,29309.6815949642
494.0,339.08,0,34174.83539999999,29420.392441381922,29309.6815949642
100.0,337.6,1,34174.83539999999,29420.392441381922,29309.6815949642
576.0,335.76,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,316.44,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,317.96,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,317.96,1,34174.83539999999,29420.392441381922,29309.6815949642
189.0,317.96,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,314.4,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,314.4,1,34174.83539999999,29420.392441381922,29309.6815949642
96.0,316.76,1,34174.83539999999,29420.392441381922,29309.6815949642
294.0,315.08,0,34174.83539999999,29420.392441381922,29309.6815949642
325.0,305.48,0,34174.83539999999,29420.392441381922,29309.6815949642
398.0,296.16,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,283.0,1,34174.83539999999,29420.392441381922,29309.6815949642
576.0,284.4,0,34174.83539999999,29420.392441381922,29309.6815949642
93.0,264.68,1,34174.83539999999,29420.392441381922,29309.6815949642
92.0,263.48,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,262.56,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,263.96,1,34174.83539999999,29420.392441381922,29309.6815949642
